id,dzien_rozliczenia,product1,product2,product3,product4
2,2023-10-02,112.0,55,4.0,1.0
2,2023-10-01,90.0,49,5.0,0.0
8,2023-09-30,106.0,41,0.0,2.0
3,2023-09-30,99.0,51,6.0,2.0
7,2023-09-30,123.0,56,0.0,3.0
4,2023-09-30,130.0,56,6.0,5.0
37,2023-09-30,128.0,57,0.0,1.0
2,2023-09-30,246.0,114,5.0,1.0
6,2023-09-30,56.0,39,1.0,0.0
9,2023-09-30,81.0,38,1.0,1.0
1,2023-09-30,168.0,101,15.0,5.0
1,2023-09-29,82.0,50,8.0,2.0
7,2023-09-29,49.5,34,4.0,9.0
8,2023-09-29,131.0,32,3.0,8.0
37,2023-09-29,53.0,25,3.0,1.0
4,2023-09-29,59.0,31,4.0,0.0
3,2023-09-29,86.0,53,5.0,0.0
6,2023-09-29,42.0,21,2.0,0.0
9,2023-09-29,50.0,17,9.0,2.0
2,2023-09-29,92.0,50,7.0,2.0
37,2023-09-28,63.0,32,6.0,4.0
8,2023-09-28,89.5,29,9.0,3.0
6,2023-09-28,54.0,34,4.0,1.0
9,2023-09-28,56.0,33,7.0,0.0
1,2023-09-28,112.0,59,19.0,3.0
7,2023-09-28,78.0,43,12.0,0.0
4,2023-09-28,65.0,31,18.0,2.0
2,2023-09-28,142.0,73,9.0,7.0
3,2023-09-28,76.0,32,6.0,0.0
1,2023-09-27,98.0,55,12.0,3.0
3,2023-09-27,66.0,40,3.0,2.0
37,2023-09-27,70.0,36,4.0,4.0
7,2023-09-27,75.0,45,11.0,1.0
8,2023-09-27,107.0,51,8.0,2.0
6,2023-09-27,92.0,55,8.0,0.0
9,2023-09-27,59.0,16,2.0,2.0
4,2023-09-27,74.0,39,9.0,1.0
2,2023-09-27,144.0,78,12.0,2.0
8,2023-09-26,91.0,32,4.0,5.0
6,2023-09-26,45.0,42,2.0,0.0
37,2023-09-26,68.0,26,6.0,7.0
3,2023-09-26,63.0,47,4.0,0.0
9,2023-09-26,67.5,26,6.0,1.0
1,2023-09-26,84.0,47,10.0,0.0
7,2023-09-26,74.0,48,3.0,5.0
2,2023-09-26,127.0,52,13.0,0.0
4,2023-09-26,66.5,27,15.0,2.0
3,2023-09-25,58.0,37,3.0,2.0
1,2023-09-25,69.0,47,8.0,1.0
4,2023-09-25,52.5,19,0.0,0.0
2,2023-09-25,97.0,54,13.0,0.0
37,2023-09-25,50.0,16,3.0,4.0
7,2023-09-25,42.0,16,5.0,0.0
8,2023-09-25,94.0,34,6.0,1.0
6,2023-09-25,35.0,23,1.0,0.0
9,2023-09-25,40.0,18,2.0,1.0
2,2023-09-24,62.5,32,3.0,0.0
8,2023-09-23,108.0,24,10.0,0.0
37,2023-09-23,100.0,44,1.0,0.0
7,2023-09-23,94.0,53,6.0,1.0
3,2023-09-23,105.0,45,20.0,1.0
6,2023-09-23,68.0,39,4.0,2.0
9,2023-09-23,81.0,23,0.0,0.0
1,2023-09-23,160.0,81,24.0,7.0
2,2023-09-23,234.0,76,10.0,2.0
4,2023-09-23,123.0,37,14.0,3.0
7,2023-09-22,78.0,36,3.0,2.0
8,2023-09-22,135.0,37,10.0,4.0
2,2023-09-22,91.0,50,7.0,0.0
1,2023-09-22,76.0,50,10.0,0.0
37,2023-09-22,67.0,33,13.0,6.0
9,2023-09-22,54.0,15,8.0,0.0
4,2023-09-22,73.0,38,6.0,3.0
3,2023-09-22,84.0,40,3.0,1.0
6,2023-09-22,41.0,36,0.0,0.0
2,2023-09-21,180.0,83,12.0,12.0
3,2023-09-21,71.0,37,6.0,3.0
37,2023-09-21,59.0,19,9.0,1.0
1,2023-09-21,100.0,35,17.0,8.0
7,2023-09-21,82.0,44,11.0,2.0
8,2023-09-21,93.5,22,5.0,6.0
6,2023-09-21,65.0,50,5.0,1.0
9,2023-09-21,51.0,20,3.0,2.0
4,2023-09-21,70.0,21,15.0,5.0
3,2023-09-20,69.0,42,1.0,1.0
6,2023-09-20,106.0,66,2.0,3.0
8,2023-09-20,94.0,37,7.0,0.0
37,2023-09-20,77.0,35,7.0,0.0
1,2023-09-20,88.0,64,12.0,0.0
7,2023-09-20,83.0,31,1.0,1.0
2,2023-09-20,156.0,71,6.0,4.0
4,2023-09-20,75.0,39,6.0,0.0
9,2023-09-20,58.0,22,3.0,0.0
37,2023-09-19,75.0,29,11.0,5.0
8,2023-09-19,111.5,35,10.0,0.0
3,2023-09-19,63.0,35,3.0,0.0
7,2023-09-19,72.0,39,0.0,0.0
6,2023-09-19,50.0,38,0.0,0.0
9,2023-09-19,61.0,26,2.0,0.0
4,2023-09-19,69.0,19,4.0,5.0
1,2023-09-19,90.0,46,11.0,2.0
2,2023-09-19,130.0,71,14.0,0.0
4,2023-09-18,54.0,16,7.0,5.0
37,2023-09-18,57.0,21,7.0,7.0
2,2023-09-18,90.0,44,7.0,0.0
8,2023-09-18,72.0,23,6.0,11.0
3,2023-09-18,71.0,34,12.0,2.0
6,2023-09-18,42.0,32,7.0,1.0
7,2023-09-18,48.0,31,13.0,4.0
9,2023-09-18,51.0,19,5.0,2.0
1,2023-09-18,80.0,30,11.0,2.0
2,2023-09-17,71.0,37,13.0,3.0
9,2023-09-16,79.0,35,7.0,4.0
4,2023-09-16,138.0,55,14.0,1.0
7,2023-09-16,114.0,46,21.0,4.0
2,2023-09-16,252.0,95,11.0,4.0
37,2023-09-16,113.0,53,11.0,1.0
3,2023-09-16,87.5,43,3.0,2.0
6,2023-09-16,53.0,38,8.0,0.0
8,2023-09-16,125.0,31,5.0,5.0
1,2023-09-16,159.0,77,23.0,9.0
37,2023-09-15,67.0,28,7.0,0.0
2,2023-09-15,102.0,55,13.0,2.0
1,2023-09-15,87.0,63,31.0,7.0
4,2023-09-15,75.0,16,1.0,3.0
9,2023-09-15,49.0,26,6.0,0.0
6,2023-09-15,33.0,30,5.0,0.0
8,2023-09-15,125.0,38,4.0,6.0
7,2023-09-15,61.0,43,11.0,1.0
3,2023-09-15,75.5,41,1.0,0.0
1,2023-09-14,105.0,61,14.0,3.0
9,2023-09-14,61.0,20,12.0,1.0
3,2023-09-14,84.0,50,4.0,0.0
7,2023-09-14,79.0,46,5.0,2.0
6,2023-09-14,55.0,33,2.0,0.0
8,2023-09-14,86.0,30,8.0,0.0
4,2023-09-14,82.0,32,33.0,6.0
2,2023-09-14,167.5,61,15.0,0.0
37,2023-09-14,81.0,40,27.0,7.0
37,2023-09-13,62.0,20,9.0,2.0
9,2023-09-13,49.0,20,7.0,3.0
2,2023-09-13,145.0,71,16.0,0.0
1,2023-09-13,97.0,41,10.0,1.0
4,2023-09-13,70.0,18,14.0,0.0
6,2023-09-13,100.0,62,9.0,0.0
7,2023-09-13,87.0,41,9.0,3.0
8,2023-09-13,94.0,23,12.0,4.0
3,2023-09-13,67.0,39,5.0,0.0
6,2023-09-12,51.0,40,9.0,0.0
4,2023-09-12,65.5,31,4.0,6.0
2,2023-09-12,114.0,41,12.0,0.0
3,2023-09-12,69.0,40,9.0,0.0
8,2023-09-12,102.0,36,10.0,4.0
37,2023-09-12,53.0,23,15.0,3.0
7,2023-09-12,73.0,40,14.0,1.0
1,2023-09-12,92.0,51,22.0,5.0
9,2023-09-12,57.0,25,11.0,0.0
9,2023-09-11,42.0,13,6.0,0.0
37,2023-09-11,51.0,27,11.0,5.0
7,2023-09-11,48.0,25,11.0,2.0
8,2023-09-11,72.0,26,16.0,1.0
4,2023-09-11,53.0,26,11.0,4.0
6,2023-09-11,33.0,25,4.0,0.0
1,2023-09-11,68.0,39,8.0,0.0
2,2023-09-11,111.0,29,26.0,0.0
3,2023-09-11,64.5,36,6.0,7.0
2,2023-09-10,96.0,39,21.0,4.0
37,2023-09-09,100.0,42,12.0,1.0
9,2023-09-09,82.0,34,4.0,6.0
6,2023-09-09,54.0,33,3.0,2.0
3,2023-09-09,89.5,51,9.0,2.0
8,2023-09-09,129.0,48,17.0,0.0
7,2023-09-09,112.0,61,12.0,6.0
2,2023-09-09,258.0,129,14.0,7.0
4,2023-09-09,146.0,51,11.0,10.0
1,2023-09-09,149.0,78,27.0,1.0
6,2023-09-08,26.0,23,2.0,0.0
37,2023-09-08,57.0,25,5.0,6.0
8,2023-09-08,136.0,41,4.0,8.0
3,2023-09-08,105.0,48,12.0,0.0
9,2023-09-08,63.0,21,3.0,2.0
1,2023-09-08,73.0,40,8.0,1.0
7,2023-09-08,80.0,45,20.0,12.0
4,2023-09-08,55.0,21,10.0,3.0
2,2023-09-08,102.0,49,14.0,0.0
37,2023-09-07,78.0,40,16.0,4.0
2,2023-09-07,164.0,61,9.0,3.0
9,2023-09-07,65.0,32,3.0,2.0
6,2023-09-07,54.0,46,10.0,0.0
3,2023-09-07,82.0,56,10.0,0.0
8,2023-09-07,95.0,35,12.0,2.0
1,2023-09-07,98.0,50,28.0,2.0
4,2023-09-07,73.0,25,15.0,9.0
7,2023-09-07,90.5,49,11.0,3.0
6,2023-09-06,87.0,57,7.0,0.0
8,2023-09-06,100.0,46,6.0,4.0
3,2023-09-06,78.0,32,12.0,1.0
9,2023-09-06,67.0,26,12.0,2.0
1,2023-09-06,93.0,42,27.0,4.0
7,2023-09-06,72.0,53,13.0,4.0
37,2023-09-06,68.0,38,13.0,4.0
4,2023-09-06,58.0,23,10.0,3.0
2,2023-09-06,166.0,59,11.0,0.0
